SYMP_ID,SYMP_NM
72,Anxiety or panic attack
43,Shortness of breath
44,Chest pain
28,"Confusion, difficulty thinking"
1,Constipation
100,Other
55,Dental pain
2,Diarrhea
30,Difficulty concentrating
33,Disorientation
56,Ear pain
52,Sexual dysfunction or loss of libido
57,Exaggerated alcohol hangover
58,Excessive sleep at night
19,Facial paralysis
8,Fatigue
9,Fever
31,Forgetfulness
59,Head congestion
25,Headache
17,Buzzing/ringing ears
100,Other
100,Other
27,Heart palpitations
6,Abdominal pain
10,"Motion sickness, vertigo"
15,Insomnia
3,Irritable bladder
34,Joint pain
35,Joint stiffness or swelling
21,Light sensitivity
26,Dizziness
52,Sexual dysfunction or loss of libido
6,Abdominal pain
32,"Mood swings, irritability"
38,Muscle cramps
60,Daytime sleepiness
24,Neck cracks
12,Sweats
61,Muscle weakness
11,Poor balance
53,Testicular pain
13,Swollen glands
62,Psychosis
5,Nausea/Vomiting
63,Seizures
65,Sore sole
20,Sore throat
66,Sound sensitivity
67,Speech errors
23,Stiff neck
68,Symptom flareups every 4 weeks
47,Numbness or tingling
14,Tremors
22,Twitching facial muscles
69,Back pain
70,Hair loss
51,Menstrual irregularity
41,Breast milk production (unexplained)
16,Weight increase
64,Weight loss
18,Double/blurry vision
71,Word search name block
,
,
,
,
,
,
,
,
